qseqid	sacc	stitle	nident	mismatch	pident	length	evalue	bitscore	qstart	qend	sstart	send	gapopen	gaps	qlen	slen	PercentageOverlap	subqseqid	qseq_subqseq
k127_179	Q2UKQ5_ASPOR	Q2UKQ5_ASPOR	106	0	100.000	106	1.01e-75	218	63422	63739	1	106	0	0	105698	146	0.726027397260274	0	k127_179_0
k127_569	A6QVZ5_AJECN	A6QVZ5_AJECN	275	17	94.178	292	2.39e-173	534	389364	390239	67	358	0	0	422706	364	0.8021978021978022	0	k127_569_0
k127_734	Q5ADS0_CANAL	Q5ADS0_CANAL	219	0	100.000	219	3.58e-139	432	28446	27790	10	228	0	0	44385	229	0.9563318777292577	0	k127_734_0
k127_862	D2JLS9_9HYPO	D2JLS9_9HYPO	90	2	97.826	92	4.52e-61	182	70666	70391	40	131	0	0	83532	131	0.7022900763358778	0	k127_862_0
k127_862	D2JLS8_9HYPO	D2JLS8_9HYPO	90	2	97.826	92	4.52e-61	182	70666	70391	40	131	0	0	83532	131	0.7022900763358778	1	k127_862_1
k127_862	D2JLR9_FUSCU	D2JLR9_FUSCU	90	2	97.826	92	4.52e-61	182	70666	70391	40	131	0	0	83532	131	0.7022900763358778	10	k127_862_10
k127_862	D2JLR8_FUSCE	D2JLR8_FUSCE	90	2	97.826	92	4.52e-61	182	70666	70391	40	131	0	0	83532	131	0.7022900763358778	11	k127_862_11
k127_862	D2JLR7_9HYPO	D2JLR7_9HYPO	90	2	97.826	92	4.52e-61	182	70666	70391	40	131	0	0	83532	131	0.7022900763358778	12	k127_862_12
k127_862	D2JLR6_FUSBO	D2JLR6_FUSBO	90	2	97.826	92	4.52e-61	182	70666	70391	40	131	0	0	83532	131	0.7022900763358778	13	k127_862_13
k127_862	D2JLR5_9HYPO	D2JLR5_9HYPO	90	2	97.826	92	4.52e-61	182	70666	70391	40	131	0	0	83532	131	0.7022900763358778	14	k127_862_14
k127_862	D2JLR4_9HYPO	D2JLR4_9HYPO	90	2	97.826	92	4.52e-61	182	70666	70391	40	131	0	0	83532	131	0.7022900763358778	15	k127_862_15
k127_862	D2JLR3_9HYPO	D2JLR3_9HYPO	90	2	97.826	92	4.52e-61	182	70666	70391	40	131	0	0	83532	131	0.7022900763358778	16	k127_862_16
k127_862	D2JLS7_FUSSP	D2JLS7_FUSSP	90	2	97.826	92	4.52e-61	182	70666	70391	40	131	0	0	83532	131	0.7022900763358778	2	k127_862_2
k127_862	D2JLS6_9HYPO	D2JLS6_9HYPO	90	2	97.826	92	4.52e-61	182	70666	70391	40	131	0	0	83532	131	0.7022900763358778	3	k127_862_3
k127_862	D2JLS5_GIBPU	D2JLS5_GIBPU	90	2	97.826	92	4.52e-61	182	70666	70391	40	131	0	0	83532	131	0.7022900763358778	4	k127_862_4
k127_862	D2JLS4_FUSPO	D2JLS4_FUSPO	90	2	97.826	92	4.52e-61	182	70666	70391	40	131	0	0	83532	131	0.7022900763358778	5	k127_862_5
k127_862	D2JLS3_9HYPO	D2JLS3_9HYPO	90	2	97.826	92	4.52e-61	182	70666	70391	40	131	0	0	83532	131	0.7022900763358778	6	k127_862_6
k127_862	D2JLS2_9HYPO	D2JLS2_9HYPO	90	2	97.826	92	4.52e-61	182	70666	70391	40	131	0	0	83532	131	0.7022900763358778	7	k127_862_7
k127_862	D2JLS1_9HYPO	D2JLS1_9HYPO	90	2	97.826	92	4.52e-61	182	70666	70391	40	131	0	0	83532	131	0.7022900763358778	8	k127_862_8
k127_862	D2JLS0_FUSEQ	D2JLS0_FUSEQ	90	2	97.826	92	4.52e-61	182	70666	70391	40	131	0	0	83532	131	0.7022900763358778	9	k127_862_9
